,Foot_area1,Foot_area2,Hand_area1,Hand_area2,Head_path_len,Num_head_move,Num_head_rot,Foot_TAT ,Hand_TAT
0,0,0,0,0,27.62,2058,188,0,0
1,0,0,0,0,15.06,166,59,0,0
2,0,0,0,0,42.46,4216,239,0,0
3,30.91415506,21.97587738,49.78835997,33.72827663,19.87,455,122,0.57,1.66
4,19.23158317,13.02835069,70.35439977,47.15581987,24.98,1066,82,1,3.23
5,71.66749145,48.84310096,97.08331014,66.13257158,66.29,7211,493,6.43,6.43
6,23.85092017,16.63884425,27.74587751,18.591859,22.33,1487,146,0.71,0.63
7,48.46044865,33.8142603,62.58735327,42.31750853,35.97,3678,276,2.93,2.54
8,45.85900918,32.81079564,23.43666913,15.93423556,19.96,967,131,2.36,0.25
9,63.91100555,44.8647593,44.0801772,30.37036687,19.75,581,211,2.97,1.56
10,9.181405979,6.359880835,31.60892572,23.52375898,13.01,143,3,0.16,0.32
11,19.74844359,12.45879275,23.74957871,16.05710411,13.57,240,22,0.22,0.23
12,21.55117217,14.96962036,34.32877798,26.55406111,16.61,725,69,0.74,0.29
13,64.92735183,47.89580579,37.47907967,26.3320846,12.29,47,6,0.11,0.02
14,9.116334446,6.582407973,27.76877602,19.35893981,11.77,33,203,0,0.02
15,56.38934422,38.45728622,54.31872104,37.01165213,18.78,384,205,4,1.43
16,10.49550394,7.389214722,16.33491861,10.88245293,13.71,266,92,0.18,0.62
17,23.35786797,16.68584195,32.94015394,21.43218242,17.29,399,157,0.63,0.12
18,20.25555183,13.92278099,70.68592311,48.22714293,31.91,2566,150,0.86,2.46
19,16.73024945,12.02028881,33.82878355,23.31213966,16.61,310,160,0.28,0.29
